α,p,l
0.21,0.85,5.580122259375
0.21,0.86,5.580091967904
0.21,0.87,5.580067775253
0.21,0.88,5.580048771072001
0.21,0.89,5.580034128171
0.21,0.9,5.5800231
0.21,0.91,5.580015018129
0.21,0.92,5.580009289728
0.21,0.93,5.580005395047
0.21,0.94,5.580002884896
0.21,0.95,5.580001378125
0.21,0.96,5.5800005591040005
0.21,0.97,5.580000175203001
0.21,0.98,5.580000034272
0.21,0.99,5.580000002121
0.21,1.0,5.58
0.22,0.0,6.0
0.22,0.01,5.9805489331779995
0.22,0.02,5.961783570496
0.22,0.03,5.943685903854
0.22,0.04,5.926238236672
0.22,0.05,5.90942318125
0.22,0.06,5.893223656128
0.22,0.07,5.877622883446
0.22,0.08,5.862604386304
0.22,0.09,5.848151986122
0.22,0.1,5.8342498
0.22,0.11,5.820882238078
0.22,0.12,5.808034000896
0.22,0.13,5.795690076754
0.22,0.14,5.783835739072
0.22,0.15,5.77245654375
0.22,0.16,5.761538326528
0.22,0.17,5.751067200346
0.22,0.18,5.741029552704
0.22,0.19,5.731412043022
0.22,0.2,5.7222016
0.22,0.21,5.713385418978
0.22,0.22,5.704950959296
0.22,0.23,5.696885941654
0.22,0.24,5.6891783454719995
0.22,0.25,5.68181640625
0.22,0.26,5.674788612927999
0.22,0.27,5.668083705246
0.22,0.28,5.661690671104
0.22,0.29,5.655598743922
0.22,0.3,5.6497974
0.22,0.31,5.644276355878
0.22,0.32,5.639025565696
0.22,0.33,5.634035218554001
0.22,0.34,5.629295735872
0.22,0.35,5.62479776875
0.22,0.36,5.620532195328
0.22,0.37,5.616490118146
0.22,0.38,5.612662861504
0.22,0.39,5.609041968822
0.22,0.4,5.6056192
0.22,0.41,5.602386528778
0.22,0.42,5.599336140096
0.22,0.43,5.596460427454
0.22,0.44,5.5937519902720005
0.22,0.45,5.59120363125
0.22,0.46,5.588808353728
0.22,0.47,5.586559359045999
0.22,0.48,5.584450043904
0.22,0.49,5.5824739977219995
0.22,0.5,5.5806249999999995
0.22,0.51,5.578897017678
0.22,0.52,5.577284202496
0.22,0.53,5.575780888354
0.22,0.54,5.574381588672
0.22,0.55,5.5730809937500005
0.22,0.56,5.571873968128
0.22,0.57,5.570755547946
0.22,0.58,5.569720938304
0.22,0.59,5.568765510622
0.22,0.6,5.5678848
0.22,0.61,5.567074502578
0.22,0.62,5.566330472896
0.22,0.63,5.565648721254
0.22,0.64,5.565025411072
0.22,0.65,5.56445685625
0.22,0.66,5.5639395185280005
0.22,0.67,5.563470004846
0.22,0.68,5.563045064704
0.22,0.69,5.562661587521999
0.22,0.7,5.5623166
0.22,0.71,5.562007263478
0.22,0.72,5.561730871296
0.22,0.73,5.561484846154
0.22,0.74,5.561266737472
0.22,0.75,5.56107421875
0.22,0.76,5.560905084928
0.22,0.77,5.5607572497460005
0.22,0.78,5.560628743104
0.22,0.79,5.560517708422
0.22,0.8,5.5604224
0.22,0.81,5.560341180378
0.22,0.82,5.560272517696
0.22,0.83,5.560214983054
0.22,0.84,5.560167247872
0.22,0.85,5.56012808125
0.22,0.86,5.560096347328
0.22,0.87,5.560071002646
0.22,0.88,5.560051093504001
0.22,0.89,5.5600357533219995
0.22,0.9,5.5600242
0.22,0.91,5.560015733278
0.22,0.92,5.560009732096
0.22,0.93,5.560005651954
0.22,0.94,5.560003022271999
0.22,0.95,5.56000144375
0.22,0.96,5.560000585728
0.22,0.97,5.560000183546
0.22,0.98,5.560000035904
0.22,0.99,5.560000002222
0.22,1.0,5.5600000000000005
0.23,0.0,6.0
0.23,0.01,5.979664793776999
0.23,0.02,5.9600464600639995
0.23,0.03,5.941126172211
0.23,0.04,5.922885429248
0.23,0.05,5.905306053125
0.23,0.06,5.888370185952
0.23,0.07,5.872060287239
0.23,0.08,5.856359131136
0.23,0.09,5.841249803673
0.23,0.1,5.8267157
0.23,0.11,5.812740521627
0.23,0.12,5.799308273664
0.23,0.13,5.786403262061
0.23,0.14,5.774010090848
0.23,0.15,5.762113659375
0.23,0.16,5.750699159552
0.23,0.17,5.739752073089
0.23,0.18,5.729258168736
0.23,0.19,5.719203499523
0.23,0.2,5.7095744
0.23,0.21,5.700357483477
0.23,0.22,5.6915396392640005
0.23,0.23,5.683108029911001
0.23,0.24,5.675050088448
0.23,0.25,5.667353515625
0.23,0.26,5.660006277152
0.23,0.27,5.652996600939
0.23,0.28,5.646312974336
0.23,0.29,5.639944141373
0.23,0.3,5.6338791
0.23,0.31,5.628107099327
0.23,0.32,5.622617636864
0.23,0.33,5.617400455761
0.23,0.34,5.612445542048
0.23,0.35,5.607743121875
0.23,0.36,5.603283658752
0.23,0.37,5.599057850789
0.23,0.38,5.595056627936
0.23,0.39,5.591271149223
0.23,0.4,5.5876928
0.23,0.41,5.584313189177
0.23,0.42,5.581124146464
0.23,0.43,5.578117719611
0.23,0.44,5.575286171648
0.23,0.45,5.5726219781249995
0.23,0.46,5.570117824352
0.23,0.47,5.567766602639
0.23,0.48,5.565561409536
0.23,0.49,5.5634955430729995
0.23,0.5,5.5615625
0.23,0.51,5.559755973027
0.23,0.52,5.558069848064
