α,p,d
0.043,0.98,3.2164799999999993
0.043,1.0,3.1075799999999996
0.044,0.94,3.2818600000000004
0.044,0.96,3.11896
0.044,0.98,2.9440800000000005
0.044,1.0,2.8161799999999992
0.045,0.92,3.2073600000000004
0.045,0.94,3.0195800000000004
0.045,0.96,2.838340000000001
0.045,0.98,2.739819999999999
0.045,1.0,2.76306
0.046,0.88,3.2695
0.046,0.9,3.1041000000000003
0.046,0.92,2.9242800000000004
0.046,0.94,2.7662799999999996
0.046,0.96,2.7577800000000003
0.046,0.98,2.82226
0.046,1.0,2.8292199999999994
0.047,0.86,3.1939
0.047,0.88,3.0279000000000003
0.047,0.9,2.849199999999999
0.047,0.92,2.82228
0.047,0.94,2.8541000000000003
0.047,0.96,2.878
0.047,0.98,2.8795800000000007
0.047,1.0,2.9212799999999994
0.048,0.84,3.1405600000000007
0.048,0.86,2.94624
0.048,0.88,2.8299999999999996
0.048,0.9,2.8719799999999998
0.048,0.92,2.89534
0.048,0.94,2.94076
0.048,0.96,2.9497999999999998
0.048,0.98,2.9614400000000005
0.048,1.0,3.01976
0.049,0.82,3.14656
0.049,0.84,2.9016999999999995
0.049,0.86,2.9047999999999994
0.049,0.88,2.8972799999999994
0.049,0.9,2.95686
0.049,0.92,2.96034
0.049,0.94,2.9959
0.049,0.96,3.02602
0.049,0.98,3.068059999999999
0.049,1.0,3.07588
0.05,0.8,3.098499999999999
0.05,0.82,2.9025600000000003
0.05,0.84,2.90334
0.05,0.86,2.9702400000000004
0.05,0.88,2.9765800000000002
0.05,0.9,3.0102000000000007
0.05,0.92,3.04868
0.05,0.94,3.0789600000000004
0.05,0.96,3.09206
0.05,0.98,3.1230599999999997
0.05,1.0,3.1394800000000003
0.051,0.76,3.28626
0.051,0.78,3.0895400000000004
0.051,0.8,2.909100000000001
0.051,0.82,2.9679
0.051,0.84,2.9937999999999994
0.051,0.86,3.0405799999999994
0.051,0.88,3.06638
0.051,0.9,3.1005000000000007
0.051,0.92,3.13352
0.051,0.94,3.15584
0.051,0.96,3.1688799999999993
0.051,0.98,3.1872999999999996
0.051,1.0,3.2373400000000006
0.052,0.74,3.2688800000000002
0.052,0.76,3.0547600000000004
0.052,0.78,2.987120000000001
0.052,0.8,2.9696399999999996
0.052,0.82,3.0342600000000006
0.052,0.84,3.0864399999999996
0.052,0.86,3.1255
0.052,0.88,3.153060000000001
0.052,0.9,3.1733000000000002
0.052,0.92,3.22074
0.052,0.94,3.2512
0.052,0.98,3.27776
0.053,0.74,3.05872
0.053,0.76,2.9829599999999994
0.053,0.78,3.0419199999999997
0.053,0.8,3.0514000000000006
0.053,0.82,3.1159400000000006
0.053,0.84,3.1245399999999997
0.053,0.86,3.13526
0.053,0.88,3.199760000000001
0.053,0.9,3.26148
0.053,0.92,3.2763799999999987
0.054,0.72,3.0922200000000006
0.054,0.74,3.01592
0.054,0.76,3.0255400000000003
0.054,0.78,3.09148
0.054,0.8,3.15008
0.054,0.82,3.1876599999999997
0.054,0.84,3.22802
0.054,0.86,3.2691000000000003
0.055,0.7,3.1154799999999994
0.055,0.72,3.0200799999999997
0.055,0.74,3.0697599999999996
0.055,0.76,3.0957
0.055,0.78,3.1944
0.055,0.8,3.1997999999999993
0.055,0.82,3.2506999999999997
0.056,0.68,3.1763399999999997
0.056,0.7,3.0574
0.056,0.72,3.09326
0.056,0.74,3.15782
0.056,0.76,3.2022
0.056,0.78,3.209519999999999
0.057,0.66,3.2064200000000005
0.057,0.68,3.0319200000000004
0.057,0.7,3.0941600000000005
0.057,0.72,3.1687199999999995
0.057,0.74,3.23386
0.057,0.76,3.2576800000000006
0.058,0.66,3.0747199999999997
0.058,0.68,3.0984000000000007
0.058,0.7,3.1742
0.058,0.72,3.2265200000000007
0.059,0.64,3.1077000000000004
0.059,0.66,3.1178800000000004
0.059,0.68,3.1913600000000004
0.059,0.7,3.2611399999999997
0.06,0.62,3.2214799999999997
0.06,0.64,3.1260400000000006
0.06,0.66,3.2236800000000003
0.06,0.68,3.2368799999999993
0.061,0.6,3.2739799999999994
0.061,0.62,3.1093599999999997
0.061,0.64,3.17496
0.061,0.66,3.2361600000000004
0.062,0.6,3.11414
0.062,0.62,3.1710199999999995
0.062,0.64,3.25732
0.063,0.58,3.2160200000000003
0.063,0.6,3.1963599999999994
0.063,0.62,3.2645600000000004
0.064,0.58,3.1730799999999997
0.064,0.6,3.2389200000000002
0.065,0.56,3.205460000000001
0.065,0.58,3.2111000000000005
0.066,0.56,3.1724200000000002
0.067,0.54,3.19022
0.067,0.56,3.2431400000000004
0.068,0.54,3.22398
0.069,0.52,3.18852
0.069,0.54,3.2741800000000003
0.07,0.52,3.2464
0.071,0.5,3.227879999999999
0.072,0.5,3.2545199999999994
0.074,0.48,3.2848800000000002
0.076,0.46,3.2629400000000004
0.077,0.46,3.2821999999999987
0.079,0.44,3.2671799999999998
