|   iter    |  target   |   alpha   |     k     |     l     |
|  41       | -258.4    |  0.01846  |  1.996    |  6.187    |
|  42       | -299.1    |  0.08805  |  1.468    |  13.31    |
|  43       | -80.12    |  0.03907  |  2.048    |  6.177    |
|  44       | -299.4    |  0.08944  |  1.514    |  13.36    |
|  45       | -569.8    |  0.05095  |  3.536    |  2.699    |
|  46       | -47.24    |  0.03032  |  2.004    |  6.212    |
|  47       | -201.2    |  0.02157  |  2.012    |  6.201    |
|  48       | -942.9    |  0.1622   |  3.242    |  12.56    |
|  49       | -262.8    |  0.01834  |  1.144    |  5.789    |
|  50       | -58.5     |  0.03725  |  2.043    |  6.163    |
|  51       | -132.7    |  0.0686   |  1.531    |  13.35    |
|  52       | -482.4    |  0.006357 |  1.181    |  5.809    |
|  53       | -76.28    |  0.05373  |  1.46     |  13.32    |
|  54       | -115.0    |  0.06507  |  1.445    |  13.34    |
|  55       | -82.59    |  0.05545  |  1.531    |  13.35    |
=============================================================
|   iter    |  target   |   alpha   |     k     |     l     |
-------------------------------------------------------------
|  1        | -5.732e+0 |  0.0834   |  3.161    |  1.001    |
|  2        | -1.541e+0 |  0.06047  |  1.44     |  2.2      |
|  3        | -1.986e+0 |  0.03725  |  2.037    |  6.158    |
|  4        | -2.072e+0 |  0.1078   |  2.258    |  9.908    |
|  5        | -1.211e+0 |  0.04089  |  3.634    |  1.356    |
|  6        | -524.9    |  0.07517  |  3.37     |  11.07    |
|  7        | -6.7e+03  |  0.1065   |  3.362    |  3.274    |
