|   iter    |  target   |   alpha   |     k     |     l     |
|  46       | -20.03    |  0.1509   |  1.709    |  12.38    |
|  47       | -13.29    |  0.1176   |  2.247    |  9.855    |
|  48       | -25.11    |  0.1622   |  3.242    |  12.56    |
|  49       | -14.11    |  0.1204   |  2.206    |  9.937    |
|  50       | -16.82    |  0.09667  |  2.268    |  7.14     |
|  51       | -16.21    |  0.1004   |  2.237    |  7.124    |
|  52       | -35.01    |  0.1694   |  3.25     |  12.54    |
|  53       | -30.22    |  0.1556   |  1.699    |  12.38    |
|  54       | -19.32    |  0.1281   |  2.2      |  9.862    |
|  55       | -14.28    |  0.1215   |  2.23     |  9.9      |
=============================================================
|   iter    |  target   |   alpha   |     k     |     l     |
-------------------------------------------------------------
|  1        | -1.152e+0 |  0.0834   |  3.161    |  1.001    |
|  2        | -1.792e+0 |  0.06047  |  1.44     |  2.2      |
|  3        | -2.588e+0 |  0.03725  |  2.037    |  6.158    |
|  4        | -1.545e+0 |  0.1078   |  2.258    |  9.908    |
|  5        | -2.23e+03 |  0.04089  |  3.634    |  1.356    |
|  6        | -2.202e+0 |  0.07517  |  3.37     |  11.07    |
|  7        | -831.1    |  0.1065   |  3.362    |  3.274    |
|  8        | -1.437e+0 |  0.1192   |  1.783    |  10.71    |
|  9        | -2.745e+0 |  0.0455   |  1.467    |  13.31    |
|  10       | -443.4    |  0.1453   |  3.186    |  3.531    |
|  11       | -417.2    |  0.1414   |  3.203    |  3.506    |
|  12       | -1.079e+0 |  0.1354   |  2.275    |  9.907    |
|  13       | -2.112e+0 |  0.09775  |  3.524    |  13.73    |
|  14       | -2.453e+0 |  0.0645   |  3.291    |  12.14    |
|  15       | -959.4    |  0.171    |  3.158    |  12.86    |
|  16       | -568.5    |  0.1354   |  2.644    |  5.982    |
|  17       | -404.5    |  0.1384   |  3.213    |  3.521    |
|  18       | -1.813e+0 |  0.0548   |  3.293    |  1.869    |
|  19       | -707.4    |  0.1604   |  3.203    |  3.517    |
|  20       | -1.254e+0 |  0.1803   |  3.157    |  3.526    |
|  21       | -1.218e+0 |  0.1227   |  2.672    |  9.497    |
|  22       | -362.2    |  0.1687   |  2.645    |  5.949    |
