,nCFR,rCFR,mrCFR,EmrCFR
31,0.02356902356902357,0.2845528455284553,0.2632957016507517,
38,0.03926512968299712,0.287598944591029,0.10386300520906747,0.6391631586321335
45,0.04720464135021097,0.20112359550561798,0.764136123062231,0.41492251113433853
52,0.04536159137386131,0.17719680464778503,0.060282156272985735,0.09833149175057868
59,0.04434011476264997,0.16488845780795344,0.10524727669601389,0.14790828552532034
66,0.04185121576425924,0.1461489898989899,0.04380281393473907,0.1743489498956177
