,nCFR,rCFR,mrCFR,EmrCFR
55,0.02454473475851148,0.7948717948717948,0.5498817136714684,0.7093056757814739
62,0.04831210834849404,0.6988304093567251,0.8377423556543645,0.8377423556543645
69,0.08160114027794275,0.7701793721973094,0.25740434959102404,0.4603436626251246
76,0.10086358681982058,0.759469696969697,0.19474352465043893,0.4397976563502918
83,0.12103224193951512,0.7788500201045436,0.1685266460301124,0.2575142195713132
90,0.1212688405083243,0.71012402653591,0.1894628527560786,0.2551763484016219
97,0.12296178610251693,0.41924447612259447,0.13173744458247363,0.13558477482537648
