,nCFR,rCFR,mrCFR,EmrCFR
34,0.012955267660718651,0.424,0.032580597651092565,0.48028221641242486
41,0.020760642009769716,0.25591397849462366,0.16767697130533024,0.24772582487672062
48,0.026416246755229807,0.12843355605048257,0.033417703060054545,0.031451408663221055
55,0.029423896603877356,0.0827852998065764,0.09457550332443568,0.5172941271739198
62,0.031019775106630478,0.0664451827242525,0.15410674390304882,0.0531155874955135
69,0.03379967809830382,0.05825864276568502,0.08652089703260336,0.08652089703260336
