,nCFR,rCFR,mrCFR,EmrCFR
67,0.004113533525298231,0.04524886877828054,0.008547578000822289,0.3395405290892695
74,0.008319467554076539,0.04424778761061947,0.05896506120158519,0.011642584772381117
81,0.009782608695652175,0.028012449977767896,0.018540527122139387,0.02914926133055585
88,0.010072158749248347,0.013402680536107221,0.007568998419001828,0.005210887446135405
95,0.013477488151658768,0.015673441267654152,0.020346551061222743,0.0028388850910138212
102,0.014070205976211198,0.015828981723237597,0.9644449535101132,0.04219140332257821
