,nCFR,rCFR,mrCFR,EmrCFR
42,0.020253164556962026,0.25,0.950672705768526,0.9691945261385897
49,0.025,0.23026315789473684,0.6964841920170604,0.04935533929645976
56,0.028223220012828735,0.19298245614035087,0.03412280692708015,0.3475237004253762
63,0.030012004801920768,0.17482517482517482,0.04977749482534079,0.0070535024910500805
70,0.03210741389375365,0.1724137931034483,0.09295182082785237,0.09295182082785237
