α,p
0.028,0.53
0.028,0.54
0.028,0.55
0.028,0.56
0.028,0.57
0.028,0.58
0.028,0.59
0.028,0.6
0.028,0.61
0.028,0.62
0.028,0.63
0.028,0.64
0.028,0.65
0.028,0.66
0.028,0.67
0.028,0.68
0.028,0.69
0.028,0.7
0.028,0.71
0.028,0.72
0.028,0.73
0.028,0.74
0.028,0.75
0.028,0.76
0.028,0.77
0.028,0.78
0.028,0.79
0.028,0.8
0.028,0.81
0.028,0.82
0.028,0.83
0.028,0.84
0.028,0.85
0.028,0.86
0.028,0.87
0.028,0.88
0.028,0.89
0.028,0.9
0.028,0.91
0.028,0.92
0.028,0.93
0.028,0.94
0.028,0.95
0.028,0.96
0.028,0.97
0.028,0.98
0.028,0.99
0.028,1.0
0.029,0.38
0.029,0.39
0.029,0.4
0.029,0.41
0.029,0.42
0.029,0.43
0.029,0.44
0.029,0.45
0.029,0.46
0.029,0.47
0.029,0.48
0.029,0.49
0.029,0.5
0.029,0.51
0.029,0.52
0.029,0.53
0.029,0.54
0.029,0.55
0.029,0.56
0.029,0.57
0.029,0.58
0.029,0.59
0.029,0.6
0.029,0.61
0.029,0.62
0.029,0.63
0.029,0.64
0.029,0.65
0.029,0.66
0.029,0.67
0.029,0.68
0.029,0.69
0.029,0.7
0.029,0.71
0.029,0.72
0.029,0.73
0.029,0.74
0.029,0.75
0.029,0.76
0.029,0.77
0.029,0.78
0.029,0.79
0.029,0.8
0.029,0.81
0.029,0.82
0.029,0.83
0.029,0.84
0.029,0.85
0.029,0.86
0.029,0.87
0.029,0.88
0.029,0.89
0.029,0.9
0.029,0.91
0.029,0.92
0.029,0.93
0.029,0.94
0.029,0.95
0.029,0.96
0.029,0.97
0.029,0.98
0.029,0.99
0.029,1.0
0.03,0.31
0.03,0.32
0.03,0.33
0.03,0.34
0.03,0.35
0.03,0.36
0.03,0.37
0.03,0.38
0.03,0.39
0.03,0.4
0.03,0.41
0.03,0.42
0.03,0.43
0.03,0.44
0.03,0.45
0.03,0.46
0.03,0.47
0.03,0.48
0.03,0.49
0.03,0.5
0.03,0.51
0.03,0.52
0.03,0.53
0.03,0.54
0.031,0.26
0.031,0.27
0.031,0.28
0.031,0.29
0.031,0.3
0.031,0.31
0.031,0.32
0.031,0.33
0.031,0.34
0.031,0.35
0.031,0.36
0.031,0.37
0.031,0.38
0.032,0.23
0.032,0.24
0.032,0.25
0.032,0.26
0.032,0.27
0.032,0.28
0.032,0.29
0.032,0.3
0.032,0.31
0.033,0.21
0.033,0.22
0.033,0.23
0.033,0.24
0.033,0.25
0.033,0.26
0.034,0.19
0.034,0.2
0.034,0.21
0.034,0.22
0.034,0.23
0.035,0.17
0.035,0.18
0.035,0.19
0.035,0.2
0.035,0.21
0.036,0.16
0.036,0.17
0.036,0.18
0.036,0.19
0.037,0.15
0.037,0.16
0.037,0.17
0.038,0.14
0.038,0.15
0.038,0.16
0.039,0.13
0.039,0.14
0.039,0.15
0.04,0.13
0.04,0.14
0.041,0.12
0.041,0.13
0.042,0.11
0.042,0.12
0.043,0.11
0.043,0.12
0.044,0.11
0.045,0.1
0.045,0.11
0.046,0.1
0.047,0.09
0.047,0.1
0.048,0.09
0.049,0.09
0.05,0.08
0.05,0.09
0.051,0.08
0.052,0.08
0.053,0.08
0.055,0.07
0.056,0.07
0.057,0.07
0.058,0.07
0.06,0.06
0.061,0.06
0.062,0.06
0.063,0.06
0.064,0.06
0.068,0.05
0.069,0.05
0.07,0.05
0.071,0.05
0.072,0.05
0.081,0.04
0.082,0.04
0.083,0.04
0.084,0.04
0.085,0.04
