α,p,d
0.024,0.81,28.142842857142856
0.024,0.82,27.782433333333334
0.024,0.83,27.47281428571429
0.024,0.84,27.247414285714292
0.024,0.85,26.90545714285715
0.024,0.86,26.595304761904757
0.024,0.87,26.272142857142864
0.024,0.88,26.006414285714293
0.024,0.89,25.803252380952376
0.024,0.9,25.655804761904765
0.024,0.91,25.42450476190476
0.024,0.92,25.240571428571425
0.024,0.93,25.07897619047619
0.024,0.94,24.96496666666668
0.024,0.95,24.86857142857143
0.024,0.96,24.80249047619049
0.024,0.97,24.632700000000007
0.024,0.98,24.584333333333337
0.024,0.99,24.51789523809524
0.024,1.0,24.4229
0.025,0.67,27.98555714285714
0.025,0.68,27.4494
0.025,0.69,26.9984
0.025,0.7,26.5503
0.025,0.71,26.05701428571428
0.025,0.72,25.7176
0.025,0.73,25.385904761904765
0.025,0.74,25.05293809523809
0.025,0.75,24.98404285714285
0.025,0.76,24.882057142857153
0.025,0.77,24.68850476190476
0.025,0.78,24.718233333333327
0.025,0.79,24.5505380952381
0.025,0.8,24.43660952380953
0.025,0.81,24.22931904761905
0.025,0.82,24.19335238095238
0.025,0.83,24.09558095238095
0.025,0.84,23.981338095238094
0.025,0.85,23.924823809523815
0.025,0.86,23.80938571428572
0.025,0.87,23.706614285714277
0.025,0.88,23.716457142857138
0.025,0.89,23.599499999999992
0.025,0.9,23.589480952380956
0.025,0.91,23.62159523809524
0.025,0.92,23.614514285714293
0.025,0.93,23.666933333333343
0.025,0.94,23.681266666666673
0.025,0.95,23.81318571428572
0.025,0.96,23.82280952380952
0.025,0.97,23.900433333333343
0.025,0.98,23.957104761904763
0.025,0.99,23.974571428571423
0.025,1.0,24.03171904761904
0.026,0.57,28.036990476190482
0.026,0.58,27.629190476190463
0.026,0.59,27.173438095238094
0.026,0.6,26.847376190476183
0.026,0.61,26.489676190476196
0.026,0.62,26.113357142857144
0.026,0.63,25.94986190476191
0.026,0.64,25.862080952380946
0.026,0.65,25.774257142857138
0.026,0.66,25.6394380952381
0.026,0.67,25.524166666666662
0.026,0.68,25.37500952380952
0.026,0.69,25.306747619047623
0.026,0.7,25.249657142857153
0.026,0.71,25.2027238095238
0.026,0.72,25.135242857142863
0.026,0.73,25.174166666666668
0.026,0.74,25.219566666666662
0.026,0.75,25.257833333333327
0.026,0.76,25.273280952380944
0.026,0.77,25.347661904761903
0.026,0.78,25.560438095238098
0.026,0.79,25.767919047619042
0.026,0.8,25.789852380952382
0.026,0.81,25.99975238095239
0.026,0.82,26.228380952380956
0.026,0.83,26.48054761904761
0.026,0.84,26.65331428571428
0.026,0.85,26.87229047619048
0.026,0.86,27.00874285714286
0.026,0.87,27.16648095238095
0.026,0.88,27.318690476190476
0.026,0.89,27.543228571428568
0.026,0.9,27.68375238095238
0.026,0.91,27.855899999999988
0.026,0.92,28.226023809523802
0.027,0.51,28.24967142857144
0.027,0.52,27.8365857142857
0.027,0.53,27.360857142857153
0.027,0.54,27.210504761904758
0.027,0.55,27.238147619047627
0.027,0.56,27.31017142857143
0.027,0.57,27.493185714285715
0.027,0.58,27.61300952380953
0.027,0.59,27.74093809523809
0.027,0.6,27.824266666666663
0.027,0.61,27.91180952380952
0.027,0.62,28.047595238095244
0.027,0.63,28.114690476190486
0.027,0.64,28.21973333333334
