α,p,d
0.05,0.42,4.7842199999999995
0.05,0.44,4.65986
0.05,0.46,4.52303
0.05,0.48,4.41856
0.05,0.5,4.3357
0.05,0.52,4.29784
0.05,0.54,4.27555
0.05,0.56,4.21983
0.05,0.58,4.18808
0.05,0.6,4.1414
0.05,0.62,4.10943
0.05,0.64,4.08001
0.05,0.66,4.03249
0.05,0.68,4.00329
0.05,0.7,4.02451
0.05,0.72,4.03163
0.05,0.74,4.02417
0.05,0.76,4.0256300000000005
0.05,0.78,4.04795
0.05,0.8,4.0535499999999995
0.05,0.82,4.05145
0.05,0.84,4.03798
0.05,0.86,4.058159999999999
0.05,0.88,4.04991
0.05,0.9,4.04627
0.05,0.92,4.060309999999999
0.05,0.94,4.043609999999999
0.05,0.96,4.0753900000000005
0.05,0.98,4.0643
0.05,1.0,4.05924
0.051,0.42,4.6608
0.051,0.44,4.53468
0.051,0.46,4.4248899999999995
0.051,0.48,4.3582
0.051,0.5,4.2767
0.051,0.52,4.25435
0.051,0.54,4.20781
0.051,0.56,4.18001
0.051,0.58,4.1348199999999995
0.051,0.6,4.0821
0.051,0.62,4.0507599999999995
0.051,0.64,4.04047
0.051,0.66,4.03281
0.051,0.68,4.02391
0.051,0.7,4.03795
0.051,0.72,4.0397
0.051,0.74,4.04154
0.051,0.76,4.05862
0.051,0.78,4.054930000000001
0.051,0.8,4.07836
0.051,0.82,4.07608
0.051,0.84,4.08802
0.051,0.86,4.1008000000000004
0.051,0.88,4.07625
0.051,0.9,4.09145
0.051,0.92,4.077800000000001
0.051,0.94,4.08473
0.051,0.96,4.07994
0.051,0.98,4.10644
0.051,1.0,4.085800000000001
0.052,0.4,4.6913800000000005
0.052,0.42,4.55326
0.052,0.44,4.42699
0.052,0.46,4.35205
0.052,0.48,4.30313
0.052,0.5,4.2480899999999995
0.052,0.52,4.21078
0.052,0.54,4.159
0.052,0.56,4.116750000000001
0.052,0.58,4.07948
0.052,0.6,4.04726
0.052,0.62,4.034660000000001
0.052,0.64,4.019299999999999
0.052,0.66,4.03584
0.052,0.68,4.05178
0.052,0.7,4.05811
0.052,0.72,4.0685
0.052,0.74,4.07672
0.052,0.76,4.06714
0.052,0.78,4.08049
0.052,0.8,4.086180000000001
0.052,0.82,4.09444
0.052,0.84,4.08065
0.052,0.86,4.08869
0.052,0.88,4.09927
0.052,0.9,4.1046
0.052,0.92,4.09455
0.052,0.94,4.10933
0.052,0.96,4.1188400000000005
0.052,0.98,4.10087
0.052,1.0,4.10189
0.053,0.38,4.71901
0.053,0.4,4.544919999999999
0.053,0.42,4.4407499999999995
0.053,0.44,4.34544
0.053,0.46,4.303279999999999
0.053,0.48,4.25767
0.053,0.5,4.193490000000001
0.053,0.52,4.1648499999999995
0.053,0.54,4.11842
0.053,0.56,4.080769999999999
0.053,0.58,4.04524
0.053,0.6,4.047470000000001
0.053,0.62,4.03754
0.053,0.64,4.050610000000001
0.053,0.66,4.0607
0.053,0.68,4.07324
0.053,0.7,4.08388
0.053,0.72,4.09997
0.053,0.74,4.10966
0.053,0.76,4.09899
0.053,0.78,4.1054
0.053,0.8,4.087909999999999
0.053,0.82,4.1133299999999995
0.053,0.84,4.11706
0.053,0.86,4.11411
0.053,0.88,4.11303
0.053,0.9,4.11509
0.053,0.92,4.1286499999999995
0.053,0.94,4.13247
0.053,0.96,4.12007
0.053,0.98,4.11329
0.053,1.0,4.116210000000001
0.054,0.36,4.75169
0.054,0.38,4.59584
0.054,0.4,4.48653
0.054,0.42,4.36341
0.054,0.44,4.310219999999999
0.054,0.46,4.2616
0.054,0.48,4.20786
0.054,0.5,4.15874
0.054,0.52,4.11139
0.054,0.54,4.06892
0.054,0.56,4.05479
0.054,0.58,4.05656
0.054,0.6,4.04068
0.054,0.62,4.04269
0.054,0.64,4.05891
0.054,0.66,4.06486
0.054,0.68,4.09284
0.054,0.7,4.09383
0.054,0.72,4.1192
0.054,0.74,4.1149700000000005
0.054,0.76,4.10942
0.054,0.78,4.1364
0.054,0.8,4.12791
0.054,0.82,4.1425399999999994
0.054,0.84,4.15214
0.054,0.86,4.1225499999999995
0.054,0.88,4.13879
0.054,0.9,4.1464300000000005
0.054,0.92,4.12701
0.054,0.94,4.1379
0.054,0.96,4.1424199999999995
0.054,0.98,4.137130000000001
0.054,1.0,4.14105
0.055,0.36,4.65892
0.055,0.38,4.510769999999999
0.055,0.4,4.39385
0.055,0.42,4.3073
0.055,0.44,4.25638
0.055,0.46,4.21514
0.055,0.48,4.1426
0.055,0.5,4.11632
0.055,0.52,4.067100000000001
0.055,0.54,4.06377
0.055,0.56,4.06447
0.055,0.58,4.05826
0.055,0.6,4.07761
0.055,0.62,4.05312
0.055,0.64,4.10261
0.055,0.66,4.08849
0.055,0.68,4.1013
0.055,0.7,4.12204
0.055,0.72,4.121460000000001
0.055,0.74,4.1287199999999995
0.055,0.76,4.147419999999999
0.055,0.78,4.1281300000000005
0.055,0.8,4.16711
0.055,0.82,4.14841
0.055,0.84,4.142670000000001
0.055,0.86,4.1699399999999995
0.055,0.88,4.16353
0.055,0.9,4.17066
0.055,0.92,4.14724
0.055,0.94,4.16441
0.055,0.96,4.155530000000001
0.055,0.98,4.1598500000000005
0.055,1.0,4.17298
